,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,99,NZ,1575499031,74,-46.19,168.86,57.0,10.0
1,Bredasdorp,4,ZA,1575499032,55,-34.53,20.04,64.4,17.22
2,College,90,US,1575498867,76,64.86,-147.8,-4.0,1.92
3,Punta Arenas,40,CL,1575499034,50,-53.16,-70.91,53.6,34.45
4,Rio Cuarto,0,AR,1575499036,33,-33.13,-64.35,71.6,9.17
5,Tuktoyaktuk,75,CA,1575499037,77,69.44,-133.03,-2.2,23.04
6,Tautira,40,PF,1575499038,66,-17.73,-149.15,87.8,17.22
7,Komsomolskiy,55,RU,1575499039,82,67.55,63.78,2.05,3.87
8,Thompson,90,CA,1575498743,92,55.74,-97.86,12.2,3.36
9,Kruisfontein,11,ZA,1575499041,85,-34.0,24.73,51.67,7.45
10,Avarua,0,CK,1575499042,74,-21.21,-159.78,82.4,16.11
11,Pomabamba,93,PE,1575499043,90,-8.82,-77.46,41.9,5.1
12,Georgetown,20,GY,1575499044,83,6.8,-58.16,84.2,6.93
13,Ahipara,20,NZ,1575499045,90,-35.17,173.16,66.15,7.4
14,Arraial do Cabo,40,BR,1575499046,69,-22.97,-42.02,77.0,28.86
15,Ende,100,ID,1575499047,71,-8.84,121.65,83.16,4.68
16,Puerto Ayora,20,EC,1575499048,61,-0.74,-90.35,80.6,6.93
17,Kaihua,97,CN,1575499049,61,29.14,118.41,42.78,0.56
18,Albany,90,US,1575498796,95,42.65,-73.75,34.0,2.71
19,Barrow,83,AR,1575499051,78,-38.31,-60.23,50.36,9.26
20,Lazaro Cardenas,75,MX,1575499052,34,28.39,-105.62,64.4,12.75
21,Okhotsk,0,RU,1575499053,62,59.36,143.24,-13.72,26.22
22,Anloga,20,GH,1575499054,79,5.79,0.9,84.2,9.17
23,Jamestown,1,AU,1575499055,10,-33.21,138.6,78.62,11.68
24,Souillac,89,FR,1575499057,81,45.6,-0.6,42.8,9.17
25,Saint George,90,GR,1575499058,87,39.45,22.34,44.6,5.82
26,Tromso,20,NO,1575499059,75,69.65,18.96,42.8,29.97
27,Butaritari,59,KI,1575498883,74,3.07,172.79,85.17,9.46
28,Clyde River,75,CA,1575499061,83,70.47,-68.59,-13.0,10.29
29,Gat,94,SN,1575499062,47,14.69,-16.54,78.8,2.24
30,Hithadhoo,92,MV,1575499063,77,-0.6,73.08,82.76,8.93
31,Ushuaia,40,AR,1575498950,66,-54.81,-68.31,53.6,32.21
32,Saint-Philippe,90,CA,1575499065,99,45.36,-73.48,35.6,2.24
33,Meghri,100,AM,1575499066,97,38.9,46.25,35.2,3.51
34,Kapaa,40,US,1575499067,74,22.08,-159.32,80.6,14.99
